id,carat,price,cut,cut_nom,clarity,clarity_nom,color,color_nom,diamond_shape,ring_setting,ring_metal,metal_quality,merchant_title,ring_title,ring_description,prod_name_raw,mrch_id,product_url,image_url,image_url2,image_url3,votes,merchant_type
371,1.02,10557,Very Good,3,VVS2,5,H,3,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,65,1
372,1.06,10569,Very Good,3,VVS2,5,H,3,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,77,1
373,0.99,10686,Very Good,3,VVS2,5,G,4,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,4,1
374,1.01,11516,Very Good,3,VVS2,5,F,5,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,83,1
375,1.03,13261,Very Good,3,VVS2,5,F,5,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,14,1
376,1.59,15039,Very Good,3,VVS2,5,I,2,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,92,1
377,0.45,4338,Very Good,3,VVS2,5,G,4,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,37,1
378,0.51,4424,Very Good,3,VVS2,5,G,4,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,91,1
379,0.7,5675,Very Good,3,VVS1,6,H,3,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,49,1
380,0.72,5683,Very Good,3,VVS1,6,G,4,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,78,1
381,0.77,5869,Very Good,3,VVS1,6,H,3,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,44,1
382,0.72,6229,Very Good,3,VVS2,5,F,5,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,57,1
383,0.8,6343,Very Good,3,VVS1,6,G,4,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,73,1
384,1.01,7044,Very Good,3,VVS1,6,I,2,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,95,1
385,0.93,7513,Very Good,3,VVS2,5,G,4,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,54,1
386,1.02,7573,Very Good,3,VVS2,5,H,3,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,41,1
387,1.06,7585,Very Good,3,VVS2,5,H,3,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,3,1
388,0.99,7702,Very Good,3,VVS2,5,G,4,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,29,1
389,1.01,8532,Very Good,3,VVS2,5,F,5,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,23,1
390,1.03,10277,Very Good,3,VVS2,5,F,5,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,23,1
391,1.59,12055,Very Good,3,VVS2,5,I,2,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,13,1
392,0.45,5999,Very Good,3,VVS2,5,G,4,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,16,1
393,0.51,6085,Very Good,3,VVS2,5,G,4,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,32,1
394,0.7,7336,Very Good,3,VVS1,6,H,3,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,46,1
395,0.72,7344,Very Good,3,VVS1,6,G,4,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,100,1
396,0.77,7530,Very Good,3,VVS1,6,H,3,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,30,1
397,0.72,7890,Very Good,3,VVS2,5,F,5,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,75,1
398,0.8,8004,Very Good,3,VVS1,6,G,4,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,90,1
399,1.01,8705,Very Good,3,VVS1,6,I,2,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,51,1
400,0.93,9174,Very Good,3,VVS2,5,G,4,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,15,1
401,1.02,9234,Very Good,3,VVS2,5,H,3,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,77,1
402,1.06,9246,Very Good,3,VVS2,5,H,3,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,Antique style Pave Cushion Halo Diamond Engagement Ring .The ring has halo design for the center diamond and Celtic signature on the sides of the ring. Approximate total weight of the side diamonds is 0.50cts to fit the center of your choice,Antique Cluster Halo Pave Diamond Engagement Ring - Celtic Design,7,,http://weddingbandscompany.com/images/products/detail/AntiqueHaloDiamondEngagementRing.jpg,,,40,1
